label,pixel0,pixel1,pixel2,pixel3
bright line,107,249,81,242
bright line,62,8,254,253
triangle,12,236,26,10
bright line,5,164,250,246
triangle,244,1,223,217
checkerboard,26,222,220,43
triangle,26,36,17,251
checkerboard,228,43,51,231
checkerboard,19,133,144,42
checkerboard,191,74,89,175
triangle,207,218,252,24
bright line,2,236,104,237
triangle,223,2,206,222
bright line,251,106,252,150
checkerboard,59,127,125,62
triangle,34,36,8,248
checkerboard,108,241,235,95
checkerboard,7,236,221,8
bright line,158,238,169,239
bright line,55,70,253,253
checkerboard,51,173,167,46
checkerboard,169,236,247,156
triangle,4,215,228,225
checkerboard,184,91,101,193
bright line,98,160,243,245
bright line,50,233,9,253
bright line,250,133,246,7
checkerboard,198,107,83,193
checkerboard,154,65,81,152
checkerboard,28,247,248,8
bright line,44,155,253,253
triangle,252,249,15,203
bright line,63,73,252,239
triangle,17,12,26,219
triangle,232,235,254,14
triangle,227,34,38,17
bright line,232,245,10,161
bright line,103,253,19,249
checkerboard,198,87,104,196
checkerboard,60,143,126,39
bright line,247,233,164,68
bright line,132,236,72,246
bright line,251,244,91,138
bright line,252,255,114,121
bright line,237,245,114,84
checkerboard,236,14,11,217
bright line,154,91,249,255
checkerboard,234,51,55,229
checkerboard,207,58,74,194
checkerboard,176,25,18,194
checkerboard,44,98,111,43
bright line,110,42,237,239
checkerboard,146,241,225,143
checkerboard,238,25,42,242
checkerboard,9,128,113,23
triangle,203,230,28,207
bright line,236,251,154,37
checkerboard,227,73,96,226
bright line,131,64,238,238
bright line,238,6,243,27
bright line,253,251,21,96
checkerboard,151,77,90,173
checkerboard,25,164,181,9
checkerboard,160,21,39,175
triangle,45,255,245,243
bright line,232,234,106,99
checkerboard,197,71,61,180
checkerboard,57,242,220,36
triangle,244,44,32,23
triangle,250,227,217,13
triangle,254,49,27,47
checkerboard,115,170,188,109
checkerboard,195,18,37,177
checkerboard,223,27,3,211
checkerboard,205,78,97,189
triangle,2,208,9,33
triangle,241,204,0,227
bright line,237,13,232,148
bright line,51,232,115,252
triangle,241,229,1,229
triangle,209,201,221,25
bright line,63,76,238,251
triangle,248,224,252,16
checkerboard,86,152,158,78
checkerboard,226,23,25,219
checkerboard,20,112,91,26
triangle,216,18,228,222
checkerboard,164,47,59,156
bright line,249,89,231,85
bright line,118,132,233,249
triangle,15,204,48,46
triangle,49,21,211,19
triangle,243,12,203,204
checkerboard,68,148,156,45
bright line,234,252,68,84
bright line,234,238,28,52
triangle,3,22,2,224
bright line,103,247,106,234
bright line,236,238,87,163
triangle,242,46,31,8
checkerboard,71,206,209,65
bright line,254,49,237,19
checkerboard,64,137,140,42
checkerboard,229,71,82,212
triangle,42,34,255,46
checkerboard,216,69,63,237
bright line,16,38,241,252
triangle,17,243,205,234
checkerboard,239,103,119,242
bright line,253,247,88,132
checkerboard,38,179,193,42
triangle,48,29,251,42
bright line,239,43,246,71
triangle,42,13,245,29
triangle,227,241,28,247
bright line,46,13,253,235
checkerboard,94,187,190,84
checkerboard,230,92,100,223
triangle,228,45,253,252
checkerboard,148,5,27,164
checkerboard,44,158,147,22
checkerboard,75,138,148,56
triangle,207,203,210,17
checkerboard,254,12,12,249
bright line,240,233,173,24
bright line,140,174,236,250
bright line,236,251,90,20
triangle,36,229,217,220
checkerboard,215,102,106,239
triangle,251,237,240,8
triangle,255,238,250,39
checkerboard,200,80,62,218
bright line,246,33,241,43
bright line,234,237,154,32
bright line,250,31,232,160
triangle,219,10,1,27
checkerboard,15,245,248,21
checkerboard,118,38,35,113
bright line,241,72,235,167
bright line,235,54,243,164
checkerboard,234,66,63,245
bright line,83,30,233,255
bright line,238,236,166,102
checkerboard,47,229,212,51
checkerboard,15,118,103,3
checkerboard,248,160,160,234
checkerboard,27,148,143,47
bright line,244,123,243,55
triangle,21,211,48,17
checkerboard,245,172,158,224
checkerboard,131,229,232,141
triangle,218,243,220,31
bright line,129,235,105,237
bright line,247,128,247,80
triangle,239,46,8,4
bright line,248,237,160,166
bright line,236,13,238,49
bright line,254,231,123,125
checkerboard,160,80,59,170
triangle,22,18,14,229
bright line,236,77,241,129
triangle,250,209,216,5
bright line,167,121,234,254
checkerboard,190,12,21,175
checkerboard,2,135,123,5
checkerboard,204,113,128,187
triangle,247,11,7,17
triangle,231,241,43,211
checkerboard,250,158,155,253
bright line,64,240,55,237
checkerboard,81,145,155,70
bright line,35,252,33,252
triangle,219,15,242,201
bright line,232,237,160,37
bright line,110,161,236,249
triangle,205,238,229,31
bright line,235,90,232,131
bright line,55,231,112,241
bright line,255,43,235,59
triangle,36,21,222,29
checkerboard,48,118,105,44
triangle,30,233,213,209
bright line,232,43,231,23
bright line,52,19,247,235
checkerboard,187,98,74,196
checkerboard,59,147,132,70
triangle,12,38,251,13
checkerboard,76,226,213,86
triangle,23,243,224,227
triangle,211,6,49,5
checkerboard,131,67,52,137
triangle,23,236,248,232
bright line,64,239,138,250
bright line,244,123,254,62
bright line,237,171,247,114
checkerboard,61,146,140,82
bright line,241,76,240,60
triangle,6,245,230,241
triangle,202,28,38,2
checkerboard,15,226,245,11
bright line,250,149,247,102
checkerboard,218,82,103,241
triangle,244,222,221,26
triangle,231,227,21,251
checkerboard,227,131,137,220
bright line,245,63,252,45
triangle,38,35,25,252
checkerboard,58,214,228,57
checkerboard,109,214,205,99
triangle,226,11,39,27
bright line,247,238,83,133
bright line,97,245,58,252
checkerboard,237,52,63,233
bright line,46,152,246,241
triangle,19,18,0,205
checkerboard,117,233,226,99
bright line,253,236,30,125
checkerboard,152,43,39,147
triangle,205,225,201,3
checkerboard,254,112,114,244
checkerboard,139,24,41,142
triangle,255,234,228,45
triangle,205,232,16,244
bright line,247,244,24,102
checkerboard,64,165,164,50
bright line,236,241,76,134
bright line,234,132,250,150
triangle,251,246,9,246
checkerboard,154,231,253,140
checkerboard,176,3,12,200
checkerboard,85,32,9,102
checkerboard,231,45,39,222
triangle,31,45,11,223
bright line,245,45,242,45
checkerboard,204,126,132,209
triangle,225,235,217,29
bright line,235,244,47,71
triangle,203,219,24,211
triangle,247,17,229,227
bright line,129,159,244,245
triangle,30,7,14,208
bright line,117,240,71,236
checkerboard,221,160,137,245
bright line,235,31,245,40
bright line,39,34,252,239
checkerboard,19,215,195,7
triangle,39,202,44,11
checkerboard,120,177,201,103
checkerboard,97,209,203,102
checkerboard,99,243,238,86
bright line,73,126,241,252
bright line,251,237,118,60
bright line,141,243,3,250
checkerboard,200,113,94,215
bright line,122,154,239,240
checkerboard,168,37,26,171
bright line,255,248,174,173
triangle,38,241,237,244
checkerboard,177,48,34,162
triangle,255,255,255,37
triangle,32,222,20,13
checkerboard,5,158,148,13
checkerboard,70,170,162,77
checkerboard,246,20,43,225
bright line,135,244,89,235
checkerboard,241,176,171,237
checkerboard,190,59,61,168
checkerboard,88,242,223,82
bright line,63,237,163,251
checkerboard,189,43,25,170
triangle,214,40,48,2
checkerboard,17,147,148,12
bright line,18,234,113,238
triangle,0,208,230,241
bright line,20,6,231,237
bright line,95,103,247,245
checkerboard,14,122,124,21
checkerboard,143,230,242,150
bright line,240,233,77,117
bright line,115,67,240,254
checkerboard,103,179,192,124
checkerboard,196,48,47,206
bright line,239,234,121,77
checkerboard,69,173,182,45
triangle,242,229,239,28
bright line,150,158,241,233
bright line,252,236,131,125
checkerboard,23,214,211,27
bright line,166,158,238,252
triangle,218,246,8,240
bright line,61,240,8,241
bright line,66,17,244,234
bright line,114,142,232,243
bright line,10,133,236,250
bright line,233,245,97,8
checkerboard,28,107,123,16
checkerboard,255,24,39,248
bright line,48,251,22,242
checkerboard,11,162,181,10
bright line,249,134,231,156
bright line,16,165,231,250
bright line,233,98,252,142
checkerboard,100,238,249,83
checkerboard,34,224,200,16
bright line,239,232,0,89
checkerboard,147,241,218,132
triangle,21,223,239,221
triangle,20,32,1,210
triangle,202,19,202,201
checkerboard,172,55,53,156
triangle,27,210,230,204
checkerboard,59,135,153,69
checkerboard,231,163,158,242
checkerboard,27,219,230,8
checkerboard,61,207,196,72
bright line,14,254,141,231
bright line,65,241,167,241
bright line,174,79,251,249
triangle,232,23,246,209
bright line,12,66,233,252
checkerboard,112,14,38,118
bright line,232,249,83,82
bright line,171,246,90,251
checkerboard,7,177,178,27
triangle,223,31,237,242
triangle,21,201,45,16
triangle,25,237,25,46
triangle,252,21,28,6
checkerboard,87,230,232,82
checkerboard,3,100,101,14
checkerboard,145,1,0,126
bright line,246,249,40,62
bright line,238,238,103,158
triangle,15,29,0,203
triangle,6,20,46,216
bright line,247,77,237,91
checkerboard,14,225,234,21
bright line,246,252,142,163
checkerboard,182,50,61,184
triangle,249,230,4,225
checkerboard,22,227,249,12
checkerboard,89,224,203,109
checkerboard,130,42,49,119
bright line,109,249,8,240
bright line,238,248,120,2
triangle,2,2,216,16
checkerboard,214,81,68,238
triangle,23,37,26,233
bright line,14,170,254,245
checkerboard,85,183,178,64
checkerboard,220,48,25,229
checkerboard,216,86,80,201
bright line,241,248,85,139
checkerboard,21,153,132,15
bright line,14,116,240,253
triangle,31,42,233,7
triangle,233,222,217,4
bright line,239,152,244,37
checkerboard,248,84,71,236
triangle,247,210,48,235
checkerboard,38,134,119,38
checkerboard,102,35,21,92
triangle,255,232,37,209
triangle,242,219,11,209
triangle,225,207,33,242
bright line,161,240,4,236
checkerboard,217,151,129,227
triangle,217,49,210,236
bright line,253,238,93,119
bright line,115,93,250,234
bright line,60,231,149,255
bright line,234,231,132,34
checkerboard,144,60,71,139
checkerboard,212,92,85,189
checkerboard,241,91,98,240
bright line,242,152,236,146
checkerboard,19,220,201,3
bright line,144,142,239,242
checkerboard,117,253,233,94
checkerboard,75,240,237,77
bright line,148,97,240,238
bright line,242,39,254,74
checkerboard,187,14,9,168
triangle,4,216,207,211
triangle,204,37,4,26
checkerboard,87,210,217,96
checkerboard,176,41,24,163
checkerboard,189,55,52,167
checkerboard,93,187,207,106
bright line,118,163,231,232
triangle,21,234,233,249
checkerboard,87,188,170,77
bright line,247,168,235,46
checkerboard,31,172,148,25
checkerboard,115,226,239,112
checkerboard,94,208,204,76
checkerboard,71,242,234,83
bright line,234,59,239,4
checkerboard,56,156,169,69
checkerboard,165,77,71,171
bright line,96,243,158,240
checkerboard,61,219,216,62
checkerboard,133,248,233,128
checkerboard,29,226,227,5
triangle,250,217,254,1
triangle,17,10,0,208
bright line,242,0,242,66
checkerboard,54,197,184,60
checkerboard,67,189,203,51
triangle,240,46,16,49
bright line,233,63,249,10
bright line,241,250,88,47
bright line,112,71,254,242
bright line,153,255,85,238
checkerboard,113,32,41,126
bright line,39,237,97,248
triangle,24,232,48,31
triangle,246,247,252,44
bright line,237,87,252,30
triangle,241,204,44,217
checkerboard,231,48,41,215
bright line,30,252,57,238
bright line,60,61,251,239
checkerboard,109,217,227,130
triangle,39,26,206,33
checkerboard,132,193,187,114
triangle,248,254,15,232
bright line,240,104,234,67
checkerboard,42,126,113,46
triangle,220,226,22,255
bright line,254,94,232,60
bright line,58,239,105,252
bright line,236,103,232,170
bright line,241,243,125,156
checkerboard,56,195,213,66
triangle,210,48,227,242
bright line,83,73,255,233
triangle,28,20,19,254
bright line,248,58,245,63
bright line,250,239,90,123
bright line,54,64,248,247
checkerboard,130,33,29,143
checkerboard,87,181,180,68
checkerboard,98,223,246,112
triangle,222,222,249,20
checkerboard,213,24,42,223
triangle,232,248,240,22
checkerboard,130,223,236,150
checkerboard,74,13,1,67
checkerboard,187,34,31,192
bright line,251,39,239,165
triangle,21,37,235,28
checkerboard,248,148,165,243
triangle,255,242,28,225
bright line,235,18,253,28
checkerboard,202,104,111,204
triangle,239,46,221,254
triangle,243,8,202,207
triangle,23,219,26,10
bright line,242,235,56,136
bright line,245,238,35,157
bright line,232,127,251,78
checkerboard,134,227,233,123
checkerboard,142,243,224,153
checkerboard,211,9,3,191
checkerboard,191,95,89,187
checkerboard,12,221,227,16
triangle,231,20,213,227
checkerboard,239,102,120,237
triangle,227,203,21,233
triangle,240,244,227,31
triangle,16,225,215,225
checkerboard,99,7,1,91
checkerboard,110,46,22,122
bright line,94,233,3,241
bright line,249,248,153,21
triangle,43,214,242,242
bright line,231,139,233,138
checkerboard,192,21,44,201
checkerboard,218,23,42,198
triangle,236,0,224,228
bright line,239,244,127,0
triangle,247,17,231,245
bright line,2,252,18,239
bright line,28,237,79,249
bright line,235,174,239,25
triangle,215,249,38,241
bright line,245,236,132,76
bright line,126,68,253,250
checkerboard,49,252,239,72
triangle,221,38,214,218
triangle,251,220,223,2
triangle,41,46,228,25
triangle,22,13,0,214
checkerboard,24,121,121,4
checkerboard,44,138,128,23
checkerboard,130,64,43,126
bright line,239,32,251,108
triangle,233,201,24,222
checkerboard,227,82,90,240
bright line,246,250,106,4
checkerboard,160,84,91,162
bright line,165,144,243,250
checkerboard,9,221,213,25
checkerboard,185,56,36,208
bright line,109,52,245,245
bright line,247,238,50,136
triangle,210,226,223,33
checkerboard,58,227,247,66
checkerboard,22,158,148,27
triangle,211,234,202,49
triangle,35,252,252,205
checkerboard,254,115,131,243
bright line,247,231,34,50
triangle,2,2,49,240
triangle,214,251,234,44
triangle,12,40,14,248
bright line,45,93,251,233
bright line,242,242,40,10
bright line,242,109,231,145
bright line,248,170,254,87
bright line,237,253,134,113
checkerboard,54,221,234,62
triangle,16,240,41,16
triangle,247,22,8,7
checkerboard,110,0,10,129
checkerboard,92,205,204,69
checkerboard,36,135,128,12
triangle,23,223,39,10
triangle,34,212,246,213
bright line,52,14,233,231
triangle,222,208,241,39
checkerboard,200,35,11,210
checkerboard,198,59,47,176
triangle,235,228,252,31
triangle,236,8,1,34
bright line,155,154,254,233
bright line,119,43,251,252
checkerboard,18,210,188,41
bright line,12,169,241,240
checkerboard,108,189,179,114
bright line,128,98,234,242
checkerboard,208,11,22,201
triangle,209,31,223,218
bright line,255,240,9,163
triangle,203,204,248,13
bright line,252,245,94,106
triangle,45,213,25,36
triangle,217,231,233,22
triangle,42,206,40,3
checkerboard,211,37,45,224
bright line,132,0,250,244
triangle,37,234,42,49
bright line,240,249,42,85
bright line,109,98,240,255
bright line,254,64,232,64
checkerboard,67,223,216,74
triangle,204,24,204,243
bright line,44,242,17,236
checkerboard,10,159,152,20
checkerboard,75,239,238,72
checkerboard,12,172,155,27
triangle,229,236,17,218
bright line,248,242,150,47
bright line,172,16,232,239
bright line,151,143,232,245
checkerboard,231,163,166,248
checkerboard,162,248,235,165
bright line,108,243,124,236
triangle,45,234,33,19
bright line,173,113,255,246
checkerboard,157,15,33,136
bright line,109,245,105,245
triangle,29,49,8,251
triangle,38,232,255,233
bright line,98,241,11,250
checkerboard,92,241,236,69
checkerboard,204,79,60,186
checkerboard,69,240,252,74
checkerboard,152,42,50,147
triangle,234,252,0,239
bright line,240,232,94,130
triangle,24,23,4,239
triangle,241,43,5,4
checkerboard,226,148,144,245
bright line,237,249,41,12
checkerboard,19,109,129,13
bright line,244,105,232,58
bright line,250,16,234,25
bright line,251,48,254,69
bright line,234,9,245,88
bright line,245,40,243,113
triangle,206,234,32,236
checkerboard,23,131,146,22
bright line,233,235,18,64
checkerboard,154,219,237,154
triangle,211,34,211,248
bright line,255,82,234,18
checkerboard,211,17,23,192
bright line,243,100,250,158
bright line,249,247,81,101
bright line,100,34,247,236
bright line,232,238,172,101
checkerboard,191,116,138,200
checkerboard,144,40,21,143
checkerboard,76,194,187,81
checkerboard,82,201,210,61
checkerboard,97,183,197,118
triangle,213,207,217,29
triangle,34,234,29,33
checkerboard,144,243,220,138
bright line,152,239,57,244
checkerboard,66,186,197,56
checkerboard,202,61,57,201
bright line,83,249,55,245
checkerboard,220,92,91,240
triangle,48,205,11,15
checkerboard,70,136,158,77
triangle,209,9,232,235
checkerboard,89,20,26,103
checkerboard,43,235,248,21
bright line,249,113,250,95
triangle,210,202,7,227
checkerboard,230,158,169,239
triangle,219,221,203,32
triangle,220,16,230,226
checkerboard,161,45,43,158
bright line,239,174,240,40
bright line,244,245,70,135
bright line,141,57,240,242
bright line,242,247,26,162
triangle,48,209,214,244
bright line,3,252,65,236
triangle,207,26,25,27
triangle,40,208,25,21
checkerboard,44,168,181,66
bright line,14,245,113,231
checkerboard,163,61,48,165
checkerboard,121,41,48,117
checkerboard,3,130,140,4
triangle,28,243,219,232
checkerboard,28,136,121,37
bright line,231,242,157,90
checkerboard,18,107,106,3
checkerboard,242,60,55,224
bright line,62,236,42,249
triangle,20,9,218,17
checkerboard,79,162,142,60
checkerboard,207,16,13,209
triangle,239,239,237,24
triangle,20,251,233,233
bright line,235,59,250,9
checkerboard,156,39,40,142
bright line,67,3,245,233
triangle,2,215,224,207
triangle,206,224,24,215
bright line,95,44,245,249
checkerboard,48,132,111,41
checkerboard,50,124,141,46
triangle,232,219,240,11
triangle,240,205,38,201
triangle,233,228,38,229
bright line,233,248,125,163
checkerboard,232,72,82,213
triangle,208,230,217,48
triangle,25,205,33,3
checkerboard,134,34,35,151
triangle,201,242,6,207
checkerboard,161,61,80,166
bright line,28,250,107,234
triangle,241,16,203,224
checkerboard,191,40,17,213
bright line,70,245,18,237
bright line,73,239,26,241
checkerboard,191,132,137,193
bright line,36,7,245,237
checkerboard,167,112,112,169
bright line,105,157,237,254
triangle,215,246,228,35
triangle,231,7,38,42
triangle,226,227,14,202
bright line,9,254,77,242
checkerboard,166,62,82,184
checkerboard,244,47,38,220
bright line,231,127,246,169
checkerboard,196,9,25,182
checkerboard,68,159,150,79
bright line,15,6,253,255
checkerboard,150,21,3,142
bright line,33,243,127,232
bright line,237,81,233,35
checkerboard,186,97,87,167
bright line,251,255,0,52
triangle,222,234,233,26
checkerboard,45,231,230,38
checkerboard,26,168,191,15
triangle,47,14,215,15
triangle,12,32,244,1
bright line,151,120,236,251
bright line,231,247,156,42
triangle,213,225,11,243
triangle,251,33,28,23
triangle,35,245,234,244
bright line,135,244,149,239
checkerboard,54,199,184,38
bright line,34,245,51,250
bright line,249,141,237,4
bright line,237,234,25,85
triangle,235,217,246,0
checkerboard,144,245,252,160
checkerboard,58,224,203,73
checkerboard,16,150,152,17
triangle,27,42,202,43
bright line,43,119,245,234
triangle,216,201,39,254
bright line,109,233,0,250
bright line,117,241,8,249
triangle,240,232,234,11
checkerboard,133,234,214,144
bright line,170,103,251,242
bright line,254,249,141,89
triangle,242,44,2,7
bright line,171,56,244,246
bright line,247,0,243,161
bright line,241,238,13,65
bright line,32,108,236,237
bright line,232,254,19,118
checkerboard,15,190,186,20
bright line,232,101,249,18
bright line,246,126,237,28
bright line,243,251,98,150
bright line,103,245,15,231
triangle,202,255,29,217
bright line,233,243,107,166
checkerboard,99,42,39,115
triangle,215,223,12,225
checkerboard,241,92,97,230
checkerboard,117,186,197,122
bright line,251,83,238,139
checkerboard,13,199,181,4
bright line,232,89,250,93
checkerboard,20,174,175,44
bright line,254,59,247,71
checkerboard,167,35,32,190
checkerboard,53,245,236,44
checkerboard,197,61,45,189
checkerboard,11,128,145,7
bright line,239,50,235,115
bright line,243,253,113,27
bright line,27,253,100,243
bright line,25,246,110,254
triangle,221,32,247,241
checkerboard,59,221,230,83
triangle,248,3,14,42
bright line,4,43,238,236
checkerboard,178,117,110,170
bright line,124,93,231,244
bright line,242,168,245,14
bright line,114,236,136,245
triangle,24,36,34,219
bright line,244,255,76,76
checkerboard,254,40,44,249
bright line,252,70,235,53
checkerboard,146,242,244,167
triangle,209,27,236,215
triangle,214,236,37,254
triangle,30,39,224,1
bright line,252,146,248,100
bright line,254,131,234,113
bright line,165,170,234,240
triangle,235,46,231,203
bright line,239,233,63,76
checkerboard,29,243,248,48
triangle,230,31,41,3
checkerboard,76,224,203,80
bright line,248,240,88,101
checkerboard,40,215,226,40
triangle,229,234,41,216
checkerboard,77,231,228,83
checkerboard,78,154,175,93
checkerboard,190,42,38,198
checkerboard,21,215,226,8
checkerboard,51,169,152,41
checkerboard,14,169,188,7
bright line,243,152,252,128
bright line,244,28,253,119
checkerboard,135,57,39,121
triangle,222,17,15,31
checkerboard,146,37,46,150
bright line,5,236,147,233
triangle,232,235,249,38
bright line,249,240,105,136
bright line,4,250,39,253
bright line,240,104,237,100
bright line,239,6,241,166
triangle,248,48,33,36
triangle,48,17,34,231
bright line,246,102,243,70
bright line,12,50,236,232
bright line,47,241,148,238
triangle,247,38,227,252
bright line,232,22,242,16
triangle,33,244,245,207
triangle,26,228,45,42
bright line,236,234,90,34
checkerboard,224,147,146,247
checkerboard,97,228,208,76
checkerboard,84,154,141,90
checkerboard,106,47,49,115
bright line,85,244,108,252
triangle,253,222,16,253
bright line,236,240,143,11
checkerboard,179,48,50,170
checkerboard,13,110,104,11
checkerboard,52,190,174,48
bright line,236,27,249,5
checkerboard,69,137,133,55
checkerboard,78,185,201,75
bright line,103,236,30,239
triangle,26,22,12,233
checkerboard,157,238,217,165
triangle,211,216,221,26
triangle,244,229,210,23
bright line,251,53,240,107
bright line,247,104,249,97
triangle,48,242,229,234
bright line,37,253,17,255
checkerboard,139,17,3,116
checkerboard,169,84,60,183
bright line,40,235,103,244
checkerboard,26,161,169,8
bright line,247,133,239,106
bright line,41,255,41,239
checkerboard,102,222,222,87
triangle,211,2,15,28
triangle,48,250,212,215
triangle,250,232,202,14
checkerboard,221,27,27,228
bright line,97,247,160,250
bright line,248,244,109,114
bright line,235,240,136,32
triangle,28,10,209,6
bright line,165,123,233,252
checkerboard,120,185,175,122
bright line,255,61,249,148
bright line,136,135,250,235
bright line,243,231,35,34
checkerboard,90,235,222,78
triangle,1,224,36,18
bright line,157,253,17,234
checkerboard,95,34,14,91
checkerboard,171,30,23,172
bright line,84,251,3,240
triangle,231,234,40,220
checkerboard,237,128,129,217
triangle,219,22,228,202
checkerboard,160,255,233,140
bright line,254,238,56,53
checkerboard,63,11,7,74
triangle,201,245,227,12
checkerboard,213,47,59,200
triangle,5,1,17,244
triangle,233,238,39,227
bright line,232,21,239,78
bright line,91,232,36,247
bright line,245,134,244,112
checkerboard,15,237,255,29
checkerboard,68,222,207,83
checkerboard,241,186,172,249
checkerboard,133,224,236,140
bright line,71,91,241,233
bright line,251,151,250,57
triangle,15,20,30,234
bright line,255,236,167,9
triangle,229,239,211,33
checkerboard,25,126,149,33
bright line,83,246,53,249
bright line,14,127,231,250
triangle,215,228,223,37
checkerboard,160,33,27,144
triangle,221,30,41,29
bright line,236,147,244,13
bright line,245,232,143,147
bright line,49,240,58,237
checkerboard,239,50,37,249
bright line,244,254,155,65
triangle,9,49,209,13
checkerboard,156,240,227,142
bright line,114,235,70,244
bright line,250,122,255,149
triangle,14,10,210,34
checkerboard,15,117,133,26
checkerboard,37,107,127,33
triangle,220,246,7,222
checkerboard,193,28,20,188
checkerboard,171,57,71,185
checkerboard,128,229,215,136
checkerboard,210,90,76,226
checkerboard,115,237,247,132
checkerboard,40,246,249,52
triangle,29,15,35,238
checkerboard,245,92,71,252
bright line,234,237,163,125
checkerboard,245,129,132,225
bright line,161,244,139,252
bright line,240,84,237,103
triangle,18,15,215,33
bright line,249,10,248,12
triangle,9,210,24,35
triangle,15,11,242,42
bright line,254,102,240,52
bright line,86,86,244,255
bright line,62,111,243,252
checkerboard,76,253,255,79
triangle,19,41,29,217
bright line,252,45,232,153
checkerboard,48,235,213,28
triangle,14,24,10,209
triangle,204,20,13,47
triangle,217,28,5,2
bright line,48,119,251,248
checkerboard,59,156,150,81
triangle,24,227,16,21
bright line,41,161,244,242
bright line,250,231,86,97
checkerboard,219,107,131,203
triangle,14,229,203,208
bright line,255,243,49,156
bright line,252,87,236,54
checkerboard,250,65,48,253
bright line,161,252,139,244
bright line,77,125,253,242
triangle,224,220,221,11
bright line,100,139,250,254
bright line,238,162,234,94
triangle,222,39,239,253
checkerboard,77,142,138,60
triangle,20,215,25,8
bright line,129,44,250,244
checkerboard,227,57,74,251
checkerboard,171,50,32,176
triangle,222,234,30,231
checkerboard,150,27,13,142
triangle,213,3,249,229
bright line,42,126,236,248
bright line,50,33,254,232
checkerboard,97,6,14,111
bright line,120,238,148,232
checkerboard,141,12,19,127
bright line,245,246,133,11
bright line,254,250,69,32
triangle,235,19,224,216
bright line,95,248,96,247
bright line,29,73,237,249
checkerboard,236,27,17,227
checkerboard,74,242,238,91
bright line,232,234,111,9
triangle,240,201,209,43
triangle,237,212,16,234
triangle,230,217,24,237
checkerboard,69,203,205,58
triangle,201,244,239,24
checkerboard,27,224,228,37
checkerboard,0,201,223,14
bright line,231,83,234,13
triangle,21,43,234,22
triangle,22,205,215,250
triangle,33,229,0,23
triangle,226,28,201,251
checkerboard,74,221,212,72
checkerboard,39,124,100,34
checkerboard,186,59,56,188
bright line,88,49,246,249
checkerboard,69,226,247,85
bright line,255,235,98,134
checkerboard,106,188,196,82
checkerboard,7,250,250,6
checkerboard,34,242,253,18
checkerboard,49,162,157,50
triangle,44,47,35,229
triangle,207,32,0,7
checkerboard,29,169,184,8
checkerboard,13,168,166,11
bright line,155,86,237,240
checkerboard,212,99,83,224
triangle,231,250,3,255
triangle,4,217,204,204
bright line,14,239,63,253
bright line,232,124,249,95
triangle,33,1,49,227
triangle,42,227,212,234
bright line,46,252,11,234
triangle,237,206,12,236
triangle,4,210,222,207
triangle,203,48,229,227
checkerboard,73,167,182,68
bright line,8,8,240,246
triangle,25,234,234,208
triangle,226,33,23,37
triangle,223,20,23,35
checkerboard,53,104,114,49
bright line,233,248,4,25
triangle,7,43,221,16
triangle,32,242,228,217
bright line,9,241,124,238
bright line,86,140,254,243
checkerboard,39,116,119,22
checkerboard,215,40,54,205
triangle,30,241,49,10
bright line,40,74,247,243
triangle,0,221,246,230
checkerboard,174,232,238,172
triangle,234,236,240,25
checkerboard,43,111,95,28
bright line,79,120,249,242
bright line,109,130,245,245
bright line,18,134,239,241
checkerboard,110,181,179,102
bright line,116,30,242,241
bright line,238,19,236,31
checkerboard,149,86,73,172
bright line,131,239,103,254
triangle,248,226,32,239
bright line,232,38,248,39
checkerboard,180,91,68,198
bright line,115,254,80,247
checkerboard,101,251,234,121
checkerboard,246,146,144,252
triangle,232,6,14,39
bright line,245,250,47,54
checkerboard,210,73,95,206
checkerboard,163,15,19,157
bright line,18,251,143,250
triangle,35,234,18,12
triangle,47,250,7,22
checkerboard,125,55,48,125
checkerboard,81,136,147,72
triangle,217,45,46,21
triangle,41,28,11,201
bright line,124,16,243,233
bright line,28,19,246,245
checkerboard,104,1,22,116
triangle,212,204,221,45
checkerboard,129,21,42,112
checkerboard,56,166,183,41
checkerboard,111,236,252,133
bright line,23,236,120,245
bright line,5,148,234,243
bright line,162,248,94,253
triangle,209,227,231,41
bright line,253,255,47,47
checkerboard,149,66,59,136
triangle,221,34,237,247
triangle,29,29,38,234
checkerboard,239,187,176,240
triangle,24,203,1,28
checkerboard,122,216,223,136
triangle,47,213,238,242
bright line,251,26,232,168
bright line,247,240,108,85
triangle,22,255,231,245
bright line,255,120,251,21
bright line,241,146,233,143
triangle,203,23,208,228
bright line,24,168,251,251
checkerboard,133,252,232,151
bright line,244,240,163,97
triangle,214,210,10,238
bright line,78,252,169,242
triangle,250,31,3,6
triangle,230,16,212,205
bright line,245,231,154,17
triangle,215,8,239,207
bright line,85,245,163,240
bright line,11,70,243,237
checkerboard,93,152,152,95
checkerboard,92,232,231,113
checkerboard,31,111,132,19
bright line,124,236,135,237
bright line,79,241,60,234
checkerboard,41,169,177,60
checkerboard,106,237,241,83
checkerboard,34,134,138,41
checkerboard,196,101,101,205
checkerboard,82,212,203,94
checkerboard,44,152,155,61
checkerboard,120,224,210,122
checkerboard,84,168,186,108
bright line,234,143,235,86
checkerboard,22,81,85,29
triangle,234,13,213,210
triangle,230,208,42,247
bright line,25,231,89,246
checkerboard,62,254,231,42
checkerboard,196,17,20,188
bright line,248,254,18,12
bright line,112,5,249,233
